,geoid,date,value
38,0645,2009-06-03,1
38,0632,2009-06-03,1
38,2604,2009-06-03,1
38,0403,2009-06-03,1
38,1707,2009-06-03,1
38,4829,2009-06-03,1
38,3613,2009-06-03,1
38,1709,2009-06-03,1
38,0613,2009-06-03,1
38,5502,2009-06-03,1
38,0628,2009-06-03,1
38,6600,2009-06-03,1
38,1807,2009-06-03,1
38,3602,2009-06-03,1
39,4818,2010-04-15,1
39,False,2010-04-15,1
39,4827,2010-04-15,1
39,7200,2010-04-15,1
39,3704,2010-04-15,1
39,4816,2010-04-15,1
39,0637,2010-04-15,1
39,4823,2010-04-15,1
39,0640,2010-04-15,1
39,1701,2010-04-15,1
39,0638,2010-04-15,1
39,0628,2010-04-15,1
39,1217,2010-04-15,1
39,5307,2010-04-15,1
39,4830,2010-04-15,1
39,4401,2010-04-15,1
39,2605,2010-04-15,1
39,0613,2010-04-15,1
39,2609,2010-04-15,1
39,1305,2010-04-15,1
39,1902,2010-04-15,1
39,0619,2010-04-15,1
39,2508,2010-04-15,1
39,3612,2010-04-15,1
39,2704,2010-04-15,1
39,3615,2010-04-15,1
39,4207,2010-04-15,1
39,3301,2010-04-15,1
39,0631,2010-04-15,1
39,0632,2010-04-15,1
39,0627,2010-04-15,1
39,2202,2010-04-15,1
39,2203,2010-04-15,1
39,3709,2010-04-15,1
39,0807,2010-04-15,1
39,0803,2010-04-15,1
39,3906,2010-04-15,1
39,4502,2010-04-15,1
39,0616,2010-04-15,1
39,0626,2010-04-15,1
39,0645,2010-04-15,1
39,3502,2010-04-15,1
39,0605,2010-04-15,1
39,False,2010-04-15,1
39,0633,2010-04-15,1
39,0606,2010-04-15,1
39,0618,2010-04-15,1
39,2613,2010-04-15,1
39,2502,2010-04-15,1
39,4218,2010-04-15,1
39,6900,2010-04-15,1
39,3620,2010-04-15,1
39,4001,2010-04-15,1
39,2504,2010-04-15,1
39,4815,2010-04-15,1
39,1304,2010-04-15,1
39,5508,2010-04-15,1
39,3503,2010-04-15,1
39,2505,2010-04-15,1
39,0606,2010-04-15,1
39,3613,2010-04-15,1
39,0905,2010-04-15,1
39,1709,2010-04-15,1
39,0613,2010-04-15,1
39,2601,2010-04-15,1
39,4829,2010-04-15,1
39,0618,2010-04-15,1
39,2708,2010-04-15,1
39,3613,2010-04-15,1
39,3610,2010-04-15,1
39,3607,2010-04-15,1
39,0633,2010-04-15,1
39,3406,2010-04-15,1
39,1312,2010-04-15,1
39,0624,2010-04-15,1
39,4828,2010-04-15,1
39,4203,2010-04-15,1
39,3616,2010-04-15,1
39,3609,2010-04-15,1
39,3624,2010-04-15,1
39,0643,2010-04-15,1
39,0620,2010-04-15,1
39,0651,2010-04-15,1
39,4820,2010-04-15,1
39,0403,2010-04-15,1
39,1704,2010-04-15,1
39,3619,2010-04-15,1
39,1220,2010-04-15,1
39,3622,2010-04-15,1
39,3412,2010-04-15,1
39,0617,2010-04-15,1
39,3603,2010-04-15,1
39,2404,2010-04-15,1
39,4214,2010-04-15,1
39,5303,2010-04-15,1
39,5502,2010-04-15,1
39,3601,2010-04-15,1
39,6600,2010-04-15,1
39,3701,2010-04-15,1
39,2507,2010-04-15,1
39,7800,2010-04-15,1
39,2613,2010-04-15,1
39,0902,2010-04-15,1
39,1707,2010-04-15,1
39,0903,2010-04-15,1
39,1702,2010-04-15,1
42,0619,2010-04-15,1
42,3913,2010-04-15,1
42,1313,2010-04-15,1
42,4207,2010-04-15,1
42,3301,2010-04-15,1
42,2904,2010-04-15,1
42,3625,2010-04-15,1
42,False,2010-04-15,1
42,0633,2010-04-15,1
42,3409,2010-04-15,1
42,4823,2010-04-15,1
42,2301,2010-04-15,1
42,2508,2010-04-15,1
42,1308,2010-04-15,1
42,2704,2010-04-15,1
42,5307,2010-04-15,1
42,2302,2010-04-15,1
42,2003,2010-04-15,1
42,False,2010-04-15,1
42,0407,2010-04-15,1
42,2707,2010-04-15,1
42,2502,2010-04-15,1
42,4218,2010-04-15,1
42,1903,2010-04-15,1
42,0804,2010-04-15,1
42,3709,2010-04-15,1
42,2607,2010-04-15,1
42,1718,2010-04-15,1
42,0502,2010-04-15,1
42,2606,2010-04-15,1
42,4001,2010-04-15,1
42,1809,2010-04-15,1
42,2906,2010-04-15,1
42,1808,2010-04-15,1
42,4219,2010-04-15,1
42,3620,2010-04-15,1
42,False,2010-04-15,1
42,4704,2010-04-15,1
42,5309,2010-04-15,1
42,2406,2010-04-15,1
42,0632,2010-04-15,1
42,0627,2010-04-15,1
42,4212,2010-04-15,1
42,2504,2010-04-15,1
42,5508,2010-04-15,1
42,3624,2010-04-15,1
42,0609,2010-04-15,1
42,0905,2010-04-15,1
42,3913,2010-04-15,1
42,3401,2010-04-15,1
42,5502,2010-04-15,1
42,4103,2010-04-15,1
42,0636,2010-04-15,1
42,4829,2010-04-15,1
42,0618,2010-04-15,1
42,3610,2010-04-15,1
42,5109,2010-04-15,1
42,1901,2010-04-15,1
42,0624,2010-04-15,1
42,4828,2010-04-15,1
42,4203,2010-04-15,1
42,0801,2010-04-15,1
42,3616,2010-04-15,1
42,3701,2010-04-15,1
42,2507,2010-04-15,1
42,2901,2010-04-15,1
42,3603,2010-04-15,1
42,1702,2010-04-15,1
42,4818,2010-04-15,1
42,4830,2010-04-15,1
42,4401,2010-04-15,1
42,2605,2010-04-15,1
42,4402,2010-04-15,1
42,0613,2010-04-15,1
42,3412,2010-04-15,1
42,3302,2010-04-15,1
42,1220,2010-04-15,1
42,4709,2010-04-15,1
42,4705,2010-04-15,1
42,0902,2010-04-15,1
42,0903,2010-04-15,1
42,3911,2010-04-15,1
42,4820,2010-04-15,1
42,0403,2010-04-15,1
42,1717,2010-04-15,1
42,1902,2010-04-15,1
43,4829,2009-02-12,1
43,4818,2009-02-12,1
43,4218,2009-02-12,1
45,3602,2009-04-02,1
45,3410,2009-04-02,1
45,False,2009-04-02,1
45,5504,2009-04-02,1
45,1217,2009-04-02,1
45,3612,2009-04-02,1
45,1305,2009-04-02,1
45,0613,2009-04-02,1
45,4830,2009-04-02,1
45,4818,2009-04-02,1
45,0637,2009-04-02,1
45,1701,2009-04-02,1
45,1313,2009-04-02,1
45,2202,2009-04-02,1
45,3605,2009-04-02,1
45,2613,2009-04-02,1
45,1302,2009-04-02,1
45,3712,2009-04-02,1
45,0633,2009-04-02,1
45,0643,2009-04-02,1
45,3625,2009-04-02,1
45,3615,2009-04-02,1
45,1702,2009-04-02,1
45,3622,2009-04-02,1
45,1220,2009-04-02,1
45,7800,2009-04-02,1
45,1807,2009-04-02,1
45,3701,2009-04-02,1
45,1205,2009-04-02,1
45,4201,2009-04-02,1
45,1709,2009-04-02,1
45,1304,2009-04-02,1
45,1214,2009-04-02,1
45,3610,2009-04-02,1
45,3609,2009-04-02,1
45,2901,2009-04-02,1
45,2905,2009-04-02,1
45,4809,2009-04-02,1
45,3911,2009-04-02,1
45,2705,2009-04-02,1
45,2404,2009-04-02,1
45,1707,2009-04-02,1
45,0107,2009-04-02,1
45,2407,2009-04-02,1
45,2613,2009-04-02,1
45,4709,2009-04-02,1
45,3613,2009-04-02,1
47,4829,2009-04-23,1
47,1717,2009-04-23,1
47,4218,2009-04-23,1
48,3620,2009-07-22,1
51,False,2009-10-22,1
51,False,2009-10-22,1
51,False,2009-10-22,1
51,False,2009-10-22,1
51,False,2009-10-22,1
51,False,2009-10-22,1
51,False,2009-10-22,1
51,False,2009-10-22,1
52,3616,2010-06-29,1
52,0606,2010-06-29,1
52,3913,2010-06-29,1
52,0902,2010-06-29,1
52,2705,2010-06-29,1
52,3911,2010-06-29,1
52,2003,2010-06-29,1
52,2502,2010-06-29,1
54,False,2010-08-04,1
54,False,2010-08-04,1
57,False,2009-06-04,1
57,False,2009-06-04,1
57,False,2009-06-04,1
61,2510,2009-05-20,1
61,0638,2009-05-20,1
61,0640,2009-05-20,1
61,3409,2009-05-20,1
61,4823,2009-05-20,1
61,4816,2009-05-20,1
61,2501,2009-05-20,1
61,3610,2009-05-20,1
61,5108,2009-05-20,1
