,geoid,date,value
506,1224,2019-09-19,1
506,1220,2019-09-19,1
506,1209,2019-09-19,1
506,0613,2019-09-19,1
506,1704,2019-09-19,1
506,2613,2019-09-19,1
506,2610,2019-09-19,1
506,3606,2019-09-19,1
506,2407,2019-09-19,1
506,0617,2019-09-19,1
506,0610,2019-09-19,1
506,4207,2019-09-19,1
506,0905,2019-09-19,1
506,3408,2019-09-19,1
506,3603,2019-09-19,1
506,4208,2019-09-19,1
515,2505,2019-09-18,1
515,0626,2019-09-18,1
548,4701,2019-02-27,1
548,4103,2019-02-27,1
548,5305,2019-02-27,1
548,5401,2019-02-27,1
548,2003,2019-02-27,1
548,4505,2019-02-27,1
548,4207,2019-02-27,1
548,0648,2019-02-27,1
622,4208,2019-07-25,1
622,4207,2019-07-25,1
622,3405,2019-07-25,1
622,0806,2019-07-25,1
