geoid,date,value
3613,2013-03-21,1
2202,2013-03-21,1
0640,2013-03-21,1
0636,2013-03-21,1
1701,2013-03-21,1
3913,2013-03-21,1
0638,2013-03-21,1
0646,2013-03-21,1
1709,2013-03-21,1
0628,2013-03-21,1
4105,2013-03-21,1
5505,2013-03-21,1
3615,2013-03-21,1
0107,2013-03-21,1
3301,2013-03-21,1
3408,2013-03-21,1
3625,2013-03-21,1
4836,2013-03-21,1
0641,2013-03-21,1
3102,2013-03-21,1
2802,2013-03-21,1
0605,2013-03-21,1
2506,2013-03-21,1
2503,2013-03-21,1
0651,2013-03-21,1
1801,2013-03-21,1
1223,2013-03-21,1
0643,2013-03-21,1
3712,2013-03-21,1
0633,2013-03-21,1
2101,2013-03-21,1
1224,2013-03-21,1
2103,2013-03-21,1
1203,2013-03-21,1
0200,2013-03-21,1
5103,2015-05-01,1
3703,2015-05-01,1
0629,2015-05-01,1
4504,2015-05-01,1
0200,2015-05-01,1
2609,2015-05-01,1
2704,2015-05-01,1
0403,2015-05-01,1
0636,2015-05-01,1
3615,2015-05-01,1
2407,2015-05-01,1
1801,2015-05-01,1
0637,2015-05-01,1
1304,2015-05-01,1
5502,2015-05-01,1
0626,2015-05-01,1
1203,2015-05-01,1
0901,2015-05-01,1
0628,2015-05-01,1
3613,2015-05-01,1
1807,2015-05-01,1
2503,2015-05-01,1
4401,2015-05-01,1
0611,2015-05-01,1
0602,2015-05-01,1
1711,2015-05-01,1
2301,2015-05-01,1
4709,2015-05-01,1
0627,2015-05-01,1
2505,2015-05-01,1
3609,2015-05-01,1
2705,2015-05-01,1
0613,2015-05-01,1
0632,2015-05-01,1
0615,2015-05-01,1
3610,2015-05-01,1
1701,2015-05-01,1
2404,2015-05-01,1
0619,2015-05-01,1
1702,2015-05-01,1
2502,2015-05-01,1
2605,2015-05-01,1
1313,2015-05-01,1
1209,2015-05-01,1
3909,2015-05-01,1
3625,2015-05-01,1
3102,2015-05-01,1
0653,2015-05-01,1
0641,2015-05-01,1
4816,2015-05-01,1
4101,2015-05-01,1
3618,2015-05-01,1
0651,2015-05-01,1
1214,2015-05-01,1
0614,2015-04-14,1
0637,2015-04-14,1
4103,2015-04-14,1
0626,2015-04-14,1
0653,2015-04-14,1
5301,2015-04-14,1
1221,2015-04-14,1
2705,2015-04-14,1
0905,2015-04-14,1
0620,2015-04-14,1
0403,2015-04-14,1
1704,2015-04-14,1
3626,2015-04-14,1
0617,2015-04-14,1
2605,2015-04-14,1
0613,2015-04-14,1
0633,2015-04-14,1
0647,2015-04-14,1
3612,2015-04-14,1
5307,2015-04-14,1
2704,2015-04-14,1
1218,2015-04-14,1
0632,2015-04-14,1
0652,2015-04-14,1
5502,2015-04-14,1
1709,2015-04-14,1
0628,2015-04-14,1
0630,2015-04-14,1
3408,2015-04-14,1
5309,2015-04-14,1
0641,2015-04-14,1
2503,2015-04-14,1
3607,2015-04-14,1
5000,2015-04-14,1
3618,2015-04-14,1
0602,2015-04-14,1
3610,2015-04-14,1
0802,2015-04-14,1
1705,2015-04-14,1
1224,2015-04-14,1
3401,2015-04-14,1
0636,2015-04-14,1
5108,2015-04-14,1
5103,2015-06-11,1
0637,2015-06-11,1
0629,2015-06-11,1
4818,2015-06-11,1
2202,2015-06-11,1
0615,2015-06-11,1
2701,2015-06-11,1
4709,2015-06-11,1
0619,2015-06-11,1
5301,2015-06-11,1
3618,2015-06-11,1
2907,2015-04-30,1
5502,2015-04-30,1
3620,2015-04-30,1
4818,2015-07-22,1
2613,2015-07-22,1
0637,2015-07-22,1
4103,2015-07-22,1
1205,2015-07-22,1
0627,2015-07-22,1
4401,2015-07-22,1
3609,2015-07-22,1
2901,2015-07-22,1
4709,2015-07-22,1
3412,2015-07-22,1
1707,2015-07-22,1
2404,2015-07-22,1
0403,2015-07-22,1
0644,2015-07-22,1
3608,2015-07-22,1
1304,2015-07-22,1
0613,2015-07-22,1
0619,2015-07-22,1
3610,2015-07-22,1
3410,2015-07-22,1
7200,2015-07-22,1
3613,2015-07-22,1
2202,2015-07-22,1
3615,2015-07-22,1
1224,2015-07-22,1
3701,2015-07-22,1
4833,2015-07-22,1
2705,2015-07-22,1
0652,2015-07-22,1
0643,2015-07-22,1
4815,2015-07-22,1
0651,2015-07-22,1
4809,2015-07-22,1
4820,2015-07-22,1
0802,2015-07-22,1
0107,2015-07-22,1
5504,2015-07-22,1
0632,2015-07-22,1
5301,2015-07-22,1
2614,2015-07-15,1
2907,2017-04-05,1
4818,2017-01-03,1
4709,2017-01-03,1
2702,2017-03-30,1
3705,2017-03-30,1
1804,2017-03-30,1
5103,2017-03-30,1
0653,2017-03-30,1
1224,2017-03-30,1
4701,2017-03-30,1
2610,2017-03-30,1
3621,2017-03-30,1
1303,2017-03-30,1
4502,2017-03-30,1
1707,2017-03-30,1
0629,2017-03-30,1
0641,2017-03-30,1
4101,2017-03-30,1
3712,2017-03-30,1
