geoid,date,value
0632,2013-11-14,1
0635,2013-11-14,1
4816,2013-11-14,1
5403,2013-11-14,1
3301,2013-11-14,1
2701,2013-11-14,1
5302,2013-03-05,1
3903,2013-03-05,1
3601,2013-03-05,1
4103,2013-03-05,1
4101,2013-03-05,1
4201,2013-03-05,1
1205,2013-03-05,1
0626,2013-03-05,1
0624,2013-03-05,1
1807,2013-03-05,1
0627,2013-03-05,1
4401,2013-03-05,1
5111,2013-03-05,1
2613,2013-03-05,1
0653,2013-03-05,1
0903,2013-03-05,1
5301,2013-03-05,1
2705,2013-03-05,1
3616,2013-03-05,1
1712,2013-03-05,1
1502,2013-03-05,1
0403,2013-03-05,1
1704,2013-03-05,1
1501,2013-03-05,1
1220,2013-03-05,1
5310,2013-03-05,1
0904,2013-03-05,1
3412,2013-03-05,1
0602,2013-03-05,1
3603,2013-03-05,1
4818,2013-03-05,1
5306,2013-03-05,1
3302,2013-03-05,1
1305,2013-03-05,1
0647,2013-03-05,1
3618,2013-03-05,1
2505,2013-03-05,1
3604,2013-03-05,1
2704,2013-03-05,1
5307,2013-03-05,1
2502,2013-03-05,1
5504,2013-03-05,1
5108,2013-03-05,1
3610,2013-03-05,1
0632,2013-03-05,1
3410,2013-03-05,1
2707,2013-03-05,1
7200,2013-03-05,1
0802,2013-03-05,1
0636,2013-03-05,1
1701,2013-03-05,1
3913,2013-03-05,1
0646,2013-03-05,1
4213,2013-03-05,1
5103,2013-03-05,1
0107,2013-03-05,1
3625,2013-03-05,1
3915,2013-03-05,1
0615,2013-03-05,1
0641,2013-03-05,1
2506,2013-03-05,1
3607,2013-03-05,1
1223,2013-03-05,1
1224,2013-03-05,1
5502,2013-02-13,1
3620,2013-02-13,1
3501,2013-02-13,1
3620,2014-01-16,1
3501,2014-01-16,1
1502,2014-01-16,1
2601,2013-10-30,1
1502,2013-10-30,1
0650,2013-10-30,1
0401,2013-10-30,1
3302,2013-10-30,1
4218,2013-10-30,1
0652,2013-10-30,1
1203,2013-10-30,1
3201,2014-03-27,1
1205,2014-03-27,1
0626,2014-03-27,1
0903,2014-03-27,1
1222,2014-03-27,1
0617,2014-03-27,1
4818,2014-03-27,1
3302,2014-03-27,1
0647,2014-03-27,1
0632,2014-03-27,1
4816,2014-03-27,1
2301,2014-03-27,1
3620,2014-03-27,1
2503,2014-03-27,1
5000,2014-03-27,1
1212,2014-06-26,1
0626,2014-06-26,1
1222,2014-06-26,1
1213,2014-06-26,1
0401,2014-06-26,1
3302,2014-06-26,1
0805,2014-06-26,1
0636,2014-06-26,1
3913,2014-06-26,1
2701,2014-06-26,1
2301,2013-02-13,1
3601,2013-02-13,1
4103,2013-02-13,1
4101,2013-02-13,1
1901,2013-02-13,1
0626,2013-02-13,1
0624,2013-02-13,1
5111,2013-02-13,1
4104,2013-02-13,1
5301,2013-02-13,1
2705,2013-02-13,1
0403,2013-02-13,1
0617,2013-02-13,1
0602,2013-02-13,1
3703,2013-02-13,1
5306,2013-02-13,1
3302,2013-02-13,1
5302,2013-02-13,1
1903,2013-02-13,1
1305,2013-02-13,1
1703,2013-02-13,1
0619,2013-02-13,1
4904,2013-02-13,1
2704,2013-02-13,1
2502,2013-02-13,1
2302,2013-02-13,1
5108,2013-02-13,1
1218,2013-02-13,1
0635,2013-02-13,1
4816,2013-02-13,1
3410,2013-02-13,1
0802,2013-02-13,1
1701,2013-02-13,1
3913,2013-02-13,1
3301,2013-02-13,1
3408,2013-02-13,1
3625,2013-02-13,1
0641,2013-02-13,1
3201,2013-02-13,1
2503,2013-02-13,1
0503,2014-06-23,1
1802,2014-06-23,1
3202,2014-06-23,1
1502,2014-06-23,1
5502,2014-02-03,1
3620,2014-02-03,1
3501,2014-02-03,1
1502,2014-02-03,1
2505,2014-02-03,1
2907,2014-11-17,1
1802,2014-11-17,1
0406,2014-11-17,1
3620,2014-11-17,1
3202,2014-11-17,1
1710,2014-11-17,1
2001,2014-11-17,1
3620,2013-01-24,1
2701,2014-07-10,1
2706,2014-07-10,1
0402,2014-07-10,1
2106,2014-07-10,1
3903,2014-07-10,1
2601,2014-07-10,1
0607,2014-07-10,1
1212,2014-07-10,1
3601,2014-07-10,1
4706,2014-07-10,1
1901,2014-07-10,1
1805,2014-07-10,1
1310,2014-07-10,1
0626,2014-07-10,1
1808,2014-07-10,1
1717,2014-07-10,1
3701,2014-07-10,1
1807,2014-07-10,1
4217,2014-07-10,1
3901,2014-07-10,1
4401,2014-07-10,1
3706,2014-07-10,1
0806,2014-07-10,1
4709,2014-07-10,1
5111,2014-07-10,1
2613,2014-07-10,1
0608,2014-07-10,1
0902,2014-07-10,1
1204,2014-07-10,1
3614,2014-07-10,1
0801,2014-07-10,1
2406,2014-07-10,1
1221,2014-07-10,1
2705,2014-07-10,1
3702,2014-07-10,1
1712,2014-07-10,1
0905,2014-07-10,1
4202,2014-07-10,1
4208,2014-07-10,1
5104,2014-07-10,1
1711,2014-07-10,1
1502,2014-07-10,1
4823,2014-07-10,1
0603,2014-07-10,1
3619,2014-07-10,1
1209,2014-07-10,1
4809,2014-07-10,1
0403,2014-07-10,1
2102,2014-07-10,1
1704,2014-07-10,1
1501,2014-07-10,1
1220,2014-07-10,1
5310,2014-07-10,1
3626,2014-07-10,1
4815,2014-07-10,1
0617,2014-07-10,1
3603,2014-07-10,1
3906,2014-07-10,1
1213,2014-07-10,1
3703,2014-07-10,1
3914,2014-07-10,1
2509,2014-07-10,1
2605,2014-07-10,1
5503,2014-07-10,1
3602,2014-07-10,1
0401,2014-07-10,1
2702,2014-07-10,1
3302,2014-07-10,1
0601,2014-07-10,1
0805,2014-07-10,1
0613,2014-07-10,1
0647,2014-07-10,1
3501,2014-07-10,1
3618,2014-07-10,1
0606,2014-07-10,1
3604,2014-07-10,1
2704,2014-07-10,1
2502,2014-07-10,1
3710,2014-07-10,1
0609,2014-07-10,1
3605,2014-07-10,1
2302,2014-07-10,1
1201,2014-07-10,1
5504,2014-07-10,1
1218,2014-07-10,1
0632,2014-07-10,1
2501,2014-07-10,1
0635,2014-07-10,1
2708,2014-07-10,1
4816,2014-07-10,1
2703,2014-07-10,1
3502,2014-07-10,1
0807,2014-07-10,1
0652,2014-07-10,1
2707,2014-07-10,1
2301,2014-07-10,1
3709,2014-07-10,1
1705,2014-07-10,1
5403,2014-07-10,1
3613,2014-07-10,1
3623,2014-07-10,1
5508,2014-07-10,1
4701,2014-07-10,1
1217,2014-07-10,1
0640,2014-07-10,1
4212,2014-07-10,1
0636,2014-07-10,1
2402,2014-07-10,1
1701,2014-07-10,1
3913,2014-07-10,1
0638,2014-07-10,1
2403,2014-07-10,1
1709,2014-07-10,1
1718,2014-07-10,1
1313,2014-07-10,1
3615,2014-07-10,1
3625,2014-07-10,1
3404,2014-07-10,1
1202,2014-07-10,1
0614,2014-07-10,1
3915,2014-07-10,1
4205,2014-07-10,1
0605,2014-07-10,1
2506,2014-07-10,1
3620,2014-07-10,1
2503,2014-07-10,1
2606,2014-07-10,1
0621,2014-07-10,1
4833,2014-07-10,1
4834,2014-07-10,1
1802,2014-07-10,1
2101,2014-07-10,1
5101,2014-07-10,1
5110,2014-07-10,1
2103,2014-07-10,1
2614,2014-07-09,1
3501,2014-06-02,1
1502,2014-06-02,1
3501,2014-02-10,1
3202,2014-02-10,1
2001,2014-02-10,1
0626,2014-06-18,1
3302,2014-06-18,1
0635,2014-06-18,1
0636,2014-06-18,1
0614,2014-06-18,1
3913,2013-11-15,1
0626,2013-11-15,1
4217,2013-11-15,1
2613,2013-11-15,1
1712,2013-11-15,1
3911,2013-11-15,1
0617,2013-11-15,1
3703,2013-11-15,1
1702,2013-11-15,1
5503,2013-11-15,1
3624,2013-11-15,1
1211,2013-11-15,1
0636,2013-11-15,1
3301,2013-11-15,1
4205,2013-11-15,1
2503,2013-11-15,1
0903,2014-09-15,1
0617,2014-09-15,1
0613,2014-09-15,1
3617,2014-09-15,1
0640,2014-09-15,1
1212,2015-11-18,1
5503,2015-11-18,1
3604,2015-11-18,1
1802,2015-11-18,1
5401,2015-11-18,1
1712,2015-11-18,1
0806,2015-11-18,1
1215,2015-11-18,1
3913,2015-11-18,1
6000,2015-11-18,1
0501,2015-11-18,1
1207,2015-11-18,1
1222,2015-11-18,1
3302,2015-11-18,1
4810,2015-11-18,1
2701,2015-11-18,1
5502,2015-11-18,1
5508,2015-11-18,1
5505,2015-11-18,1
3102,2015-11-18,1
1000,2015-11-18,1
3703,2015-11-18,1
4706,2015-11-18,1
1903,2015-11-18,1
0619,2015-11-18,1
0632,2015-11-18,1
1808,2015-11-18,1
4103,2015-11-18,1
2904,2015-11-18,1
2506,2015-11-18,1
3301,2015-11-18,1
5306,2015-11-18,1
4401,2015-11-18,1
0803,2015-11-18,1
4004,2016-07-22,1
1802,2015-03-11,1
0503,2015-03-11,1
0407,2015-11-16,1
0401,2015-11-16,1
2301,2015-11-16,1
0617,2015-11-16,1
0905,2015-11-16,1
5502,2015-03-25,1
3620,2015-03-25,1
1802,2015-03-25,1
1502,2015-03-25,1
0626,2015-01-21,1
3620,2015-01-21,1
3913,2015-01-21,1
2605,2015-11-05,1
4816,2015-11-05,1
2506,2015-11-05,1
2907,2015-01-13,1
0406,2015-01-13,1
2001,2015-01-13,1
0503,2015-01-13,1
3620,2015-01-13,1
1502,2015-01-13,1
1802,2015-01-13,1
0905,2015-01-13,1
2614,2015-01-13,1
3202,2015-01-13,1
5502,2015-01-13,1
2505,2015-01-13,1
5402,2015-01-13,1
1710,2015-01-13,1
2301,2015-03-25,1
2302,2015-03-25,1
2503,2015-03-25,1
1701,2015-03-25,1
0403,2015-03-25,1
0903,2015-03-25,1
5502,2015-03-25,1
3302,2015-03-25,1
1305,2015-03-25,1
