geoid,date,value
0628,2014-05-06,1
3301,2014-05-06,1
0614,2014-05-06,1
0615,2014-05-06,1
0651,2014-05-06,1
2103,2014-05-06,1
3201,2014-03-27,1
1205,2014-03-27,1
0626,2014-03-27,1
0903,2014-03-27,1
1222,2014-03-27,1
0617,2014-03-27,1
4818,2014-03-27,1
3302,2014-03-27,1
0647,2014-03-27,1
0632,2014-03-27,1
4816,2014-03-27,1
2301,2014-03-27,1
3620,2014-03-27,1
2503,2014-03-27,1
5000,2014-03-27,1
2301,2013-02-13,1
3601,2013-02-13,1
4103,2013-02-13,1
4101,2013-02-13,1
1901,2013-02-13,1
0626,2013-02-13,1
0624,2013-02-13,1
5111,2013-02-13,1
4104,2013-02-13,1
5301,2013-02-13,1
2705,2013-02-13,1
0403,2013-02-13,1
0617,2013-02-13,1
0602,2013-02-13,1
3703,2013-02-13,1
5306,2013-02-13,1
3302,2013-02-13,1
5302,2013-02-13,1
1903,2013-02-13,1
1305,2013-02-13,1
1703,2013-02-13,1
0619,2013-02-13,1
4904,2013-02-13,1
2704,2013-02-13,1
2502,2013-02-13,1
2302,2013-02-13,1
5108,2013-02-13,1
1218,2013-02-13,1
0635,2013-02-13,1
4816,2013-02-13,1
3410,2013-02-13,1
0802,2013-02-13,1
1701,2013-02-13,1
3913,2013-02-13,1
3301,2013-02-13,1
3408,2013-02-13,1
3625,2013-02-13,1
0641,2013-02-13,1
3201,2013-02-13,1
2503,2013-02-13,1
0503,2014-06-23,1
1802,2014-06-23,1
3202,2014-06-23,1
1502,2014-06-23,1
5502,2014-02-03,1
3620,2014-02-03,1
3501,2014-02-03,1
1502,2014-02-03,1
2505,2014-02-03,1
3501,2014-04-09,1
1710,2014-04-09,1
2614,2014-07-09,1
3501,2014-06-02,1
1502,2014-06-02,1
1807,2013-04-10,1
0402,2013-04-10,1
1805,2013-04-10,1
1808,2013-04-10,1
4217,2013-04-10,1
2613,2013-04-10,1
2502,2013-04-10,1
5504,2013-04-10,1
0652,2013-04-10,1
7200,2013-04-10,1
3613,2013-04-10,1
1224,2013-04-10,1
1807,2013-04-10,1
0402,2013-04-10,1
3903,2013-04-10,1
4709,2013-04-10,1
1712,2013-04-10,1
0403,2013-04-10,1
1220,2013-04-10,1
0647,2013-04-10,1
2502,2013-04-10,1
3613,2013-04-10,1
3913,2013-04-10,1
0641,2013-04-10,1
1802,2014-05-07,1
4205,2014-03-26,1
4211,2014-03-26,1
2611,2014-03-26,1
4901,2014-03-26,1
0626,2014-03-26,1
5402,2014-03-26,1
1807,2014-03-26,1
7800,2014-03-26,1
0627,2014-03-26,1
0806,2014-03-26,1
1309,2014-03-26,1
1712,2014-03-26,1
4208,2014-03-26,1
1502,2014-03-26,1
3619,2014-03-26,1
1220,2014-03-26,1
3703,2014-03-26,1
4203,2014-03-26,1
1702,2014-03-26,1
3602,2014-03-26,1
3402,2014-03-26,1
2907,2014-03-26,1
3617,2014-03-26,1
4210,2014-03-26,1
4810,2014-03-26,1
2502,2014-03-26,1
3711,2014-03-26,1
0632,2014-03-26,1
4600,2014-03-26,1
4204,2014-03-26,1
4701,2014-03-26,1
1701,2014-03-26,1
3913,2014-03-26,1
3615,2014-03-26,1
4832,2014-03-26,1
3301,2014-03-26,1
2503,2014-03-26,1
2701,2014-03-26,1
4814,2014-03-26,1
3620,2014-04-07,1
1802,2013-04-25,1
0905,2013-04-25,1
3501,2015-03-03,1
3910,2015-04-23,1
2503,2015-04-23,1
3302,2015-04-23,1
2905,2015-04-23,1
1717,2015-04-23,1
2502,2015-04-23,1
3617,2015-04-23,1
3625,2015-04-23,1
0104,2015-04-23,1
4502,2015-04-23,1
