geoid,date,value
0905,2013-01-22,1
5504,2013-01-22,1
3401,2013-01-22,1
0402,2013-01-22,1
0637,2013-01-22,1
3903,2013-01-22,1
0634,2013-01-22,1
0607,2013-01-22,1
1302,2013-01-22,1
3601,2013-01-22,1
4103,2013-01-22,1
4101,2013-01-22,1
6600,2013-01-22,1
4201,2013-01-22,1
1901,2013-01-22,1
1205,2013-01-22,1
0626,2013-01-22,1
1717,2013-01-22,1
3701,2013-01-22,1
0624,2013-01-22,1
2507,2013-01-22,1
0629,2013-01-22,1
1000,2013-01-22,1
1807,2013-01-22,1
4217,2013-01-22,1
1214,2013-01-22,1
4820,2013-01-22,1
7800,2013-01-22,1
0627,2013-01-22,1
4401,2013-01-22,1
3609,2013-01-22,1
2901,2013-01-22,1
2905,2013-01-22,1
4506,2013-01-22,1
4709,2013-01-22,1
5111,2013-01-22,1
2613,2013-01-22,1
4705,2013-01-22,1
0616,2013-01-22,1
0902,2013-01-22,1
3614,2013-01-22,1
4828,2013-01-22,1
2407,2013-01-22,1
1707,2013-01-22,1
0653,2013-01-22,1
4104,2013-01-22,1
0801,2013-01-22,1
2406,2013-01-22,1
0903,2013-01-22,1
5301,2013-01-22,1
1221,2013-01-22,1
2612,2013-01-22,1
4835,2013-01-22,1
4214,2013-01-22,1
2404,2013-01-22,1
2705,2013-01-22,1
3616,2013-01-22,1
1712,2013-01-22,1
0618,2013-01-22,1
0905,2013-01-22,1
6000,2013-01-22,1
0620,2013-01-22,1
4202,2013-01-22,1
1711,2013-01-22,1
1222,2013-01-22,1
3911,2013-01-22,1
1502,2013-01-22,1
4823,2013-01-22,1
0603,2013-01-22,1
1226,2013-01-22,1
1209,2013-01-22,1
4809,2013-01-22,1
4829,2013-01-22,1
0403,2013-01-22,1
1704,2013-01-22,1
0644,2013-01-22,1
1501,2013-01-22,1
1220,2013-01-22,1
5310,2013-01-22,1
3626,2013-01-22,1
0904,2013-01-22,1
4815,2013-01-22,1
3412,2013-01-22,1
0617,2013-01-22,1
3204,2013-01-22,1
2405,2013-01-22,1
0602,2013-01-22,1
3603,2013-01-22,1
4818,2013-01-22,1
3608,2013-01-22,1
4830,2013-01-22,1
1304,2013-01-22,1
3909,2013-01-22,1
2509,2013-01-22,1
2504,2013-01-22,1
2605,2013-01-22,1
5306,2013-01-22,1
5503,2013-01-22,1
0401,2013-01-22,1
3302,2013-01-22,1
4402,2013-01-22,1
5302,2013-01-22,1
0901,2013-01-22,1
0613,2013-01-22,1
2609,2013-01-22,1
1305,2013-01-22,1
1902,2013-01-22,1
0619,2013-01-22,1
0647,2013-01-22,1
3617,2013-01-22,1
3501,2013-01-22,1
3503,2013-01-22,1
2508,2013-01-22,1
3624,2013-01-22,1
3612,2013-01-22,1
3618,2013-01-22,1
2505,2013-01-22,1
0606,2013-01-22,1
3604,2013-01-22,1
2704,2013-01-22,1
5307,2013-01-22,1
2502,2013-01-22,1
